time,latitude,longitude,depth,mag
2005-08-24T10:15:28.190Z,38.564,142.987,10,6.1
2005-08-29T19:53:54.430Z,-2.35,138.219,30.7,5.6
2005-08-30T18:10:45.460Z,38.481,143.175,21.1,6.1
2005-09-02T18:35:12.710Z,10.364,138.324,10,5.7
2005-09-06T01:16:02.350Z,24.084,122.191,32,5.8
2005-09-08T04:10:10.620Z,0.77,126.283,49.2,5.7
2005-09-09T07:26:43.730Z,-4.539,153.474,90,7.6
2005-09-10T01:24:32.010Z,-5.15,154.076,96.2,5.6
2005-09-16T00:31:42.390Z,-5.622,153.592,10.7,5.7
2005-09-21T02:25:08.110Z,43.892,146.145,103,6.1
2005-09-25T12:55:46.600Z,-17.515,167.801,30,6.1
2005-09-25T20:28:40.430Z,-17.395,167.884,30,5.6
2005-09-25T22:58:54.690Z,-17.484,167.774,30,5.6
2005-09-26T01:34:32.370Z,-17.56,167.444,35,5.6
2005-09-29T15:50:24.030Z,-5.437,151.84,25,6.6
2005-09-29T18:23:25.980Z,-5.563,151.865,28,6.2
2005-09-29T18:51:14.440Z,-5.478,151.805,25,5.7
2005-09-30T23:15:19.670Z,-5.668,151.683,25,5.8
2005-10-02T23:59:44.190Z,-5.595,151.651,30.5,5.8
2005-10-10T11:08:25.510Z,13.42,125.077,6.9,5.8
2005-10-13T22:04:09.900Z,-5.147,153.766,33.2,5.7
2005-10-15T10:06:17.010Z,46.816,154.113,42.8,6.1
2005-10-19T11:44:42.790Z,36.405,140.839,32,6.3
2005-10-22T12:16:35.880Z,-5.824,129.996,15,5.7
2005-10-22T13:12:47.820Z,37.148,140.931,53.2,5.5
2005-11-01T21:13:32.500Z,-3.592,127.325,12.7,5.7
2005-11-05T10:48:21.220Z,-3.149,148.143,25,6.4
2005-11-08T10:01:45.890Z,-6.9,155.01,48.2,5.5
2005-11-10T09:23:20.820Z,-10.513,161.037,68.5,5.5
2005-11-13T10:24:58.390Z,-3.1,128.944,20,5.9
2005-11-14T21:38:51.420Z,38.107,144.896,11,7
2005-11-15T20:20:45.790Z,33.336,141.351,15.9,5.7
2005-11-15T23:01:10.050Z,22.04,144.799,20,5.7
2005-11-17T21:59:29.930Z,33.319,141.388,10,5.7
2005-11-21T00:19:41.920Z,-6.958,129.221,125.7,5.5
2005-11-21T15:36:30.980Z,31.019,129.997,145,6.1
2005-11-22T15:11:31.580Z,-5.154,145.284,68,6.2
2005-11-25T05:31:18.290Z,5.905,126.386,34,5.8
2005-11-28T16:41:28.140Z,20.29,146.055,11,6
2005-11-30T16:53:42.470Z,6.27,124.029,13,6.4
2005-12-02T13:13:09.520Z,38.089,142.122,29,6.5
2005-12-02T23:49:23.710Z,-21.444,169.895,10,5.7
2005-12-03T16:10:39.550Z,29.338,130.29,26,5.9
2005-12-03T20:38:11.860Z,12.19,141.008,10,5.7
2005-12-05T05:59:45.600Z,-5.407,142.006,10,5.5
2005-12-11T05:55:12.950Z,-7.872,129.022,35,5.5
2005-12-11T14:20:45.000Z,-6.584,152.223,17,6.6
2005-12-14T06:45:41.940Z,-14.596,167.928,10,5.6
2005-12-16T18:32:16.420Z,38.506,141.9,42.9,6
2005-12-20T05:51:12.560Z,12.232,140.995,22.8,6.1
2005-12-21T07:09:05.170Z,-0.066,124.672,25,6.3
2005-12-26T13:48:01.750Z,26.822,140.646,7.4,5.7
2006-01-01T07:11:57.010Z,31.394,140.131,10,5.6
2006-01-02T01:01:24.390Z,12.361,144.31,35.2,5.7
2006-01-02T12:01:46.170Z,-4.883,152.343,62.4,5.6
